T0,Controller,SettlingTime,SettlingIndex,RMSE_Transient,IAE_Transient,ISE_Transient,ITAE_Transient,ControlEnergy_Transient,Jcl_Transient
55,Koopman,69,70,4.12296231970103,228.464832844575,1189.91728027722,4463.12177712609,604575.266591445,358.000647854099
55,Linear,65,66,3.91844723085995,208.861731378299,1013.37909426824,4075.6162404692,550088.264433516,304.534084545066
58,Koopman,59,60,2.78677416741143,135.63793313783,465.966615609098,2394.46800234604,498977.646812918,180.04199353319
58,Linear,75,76,2.83782691226827,173.925203519061,612.047880383548,3824.76111436949,581843.826445988,213.543630774549
60,Koopman,51,52,1.52719219385186,62.0250697947212,121.280431842027,1004.80643519061,356556.790014216,60.7239992176688
60,Linear,54,55,1.41347105603226,53.1570146627565,109.884523443252,782.013589442812,314146.412881385,43.9733205227732
62,Koopman,12,13,1.34989313733919,16.1660914956011,23.6887492690609,72.069862756598,103337.872876896,20.1117408201245
62,Linear,299,300,0.797290039535968,225.071319648093,190.70142214298,31304.5405865101,1595937.82701846,74.6053108000591
66,Koopman,69,70,0.952356534901414,54.5263695014663,63.48880786986,1362.09816422288,223121.02080572,38.6706852518326
66,Linear,36,37,1.05522585197191,30.3423636363637,41.1995591507841,379.695265689151,104490.361345547,26.5038179150379
68,Koopman,62,63,1.57405091039292,70.7041114369502,156.091084916054,1355.80145337243,195358.84413468,78.2203398355593
68,Linear,63,64,1.49455942012682,71.8342475073314,142.957303058548,1558.89316598241,162513.154862392,78.3190332173563
